ISO3c,exp_to_CHN_kg,exp_to_CHN_value,exp.kg,exp.value,per_exp_kg,per_exp_val,imp_from_CHN_kg,imp_from_CHN_value,imp.kg,imp.value,per_imp_kg,per_imp_val
ITA,265893,3987218,306285755,756535692,0.086812069,0.527036337,32393515,157485541,1292365448,7686774862,2.50652902,2.048785659
JAM,77906,599457,2068706,26867574,3.76592904,2.231154179,1243900,10101842,43407644,138679505,2.865624313,7.2843078
JOR,292,5740,1253315,3047988,0.023298213,0.188320951,1628052,4707287,25503654,89912473,6.383602914,5.235410442
JPN,125446685,1044184006,802851644,2725277255,15.62513896,38.31478078,569379420,3152527330,2797508017,16251296455,20.35309342,19.39862053
KAZ,5144737,9049099,36457633,114131080,14.1115497,7.928689538,849189,2758913,41535587,90902965,2.044485371,3.035008814
KEN,900265,25607408,7133991,57757447,12.61937392,44.33611479,34634228,58489964,41487519,70461370,83.48107777,83.0099727
KGZ,320000,609029,1320378,1707261,24.23548408,35.67287017,178361,800625,4532908,8536267,3.934803001,9.379099787
KHM,39432,969638,240451,1205100,16.3991832,80.46120654,61703,241347,3069361,15271566,2.010288135,1.580368379
KIR,140000,307455,20823237,52270235,0.672325825,0.588202827,714625,1015011,1319371,2284597,54.16406757,44.42844843
KOR,81845498,338971425,568999187,2018021930,14.3841151,16.79721216,515804172,1672481086,2052474644,7131359394,25.13084259,23.45248632
LAO,2024,24849,2071,35973,97.73056494,69.07680761,42650,698646,1177455,3213379,3.622219108,21.74178645
LBR,4035,298276,163258,701228,2.471548102,42.53623643,914260,872937,6631109,4983296,13.78743737,17.51726167
LBY,1519,37590,2958718,25324836,0.051339803,0.148431366,160520,394360,6958867,29505252,2.30669734,1.336575604
LCA,1,111,225,4172,0.444444444,2.660594439,NA,NA,NA,NA,NA,NA
LKA,1123935,19420654,37510277,379491216,2.996338843,5.117550336,40514081,98428416,125012716,289146607,32.407968,34.04100675
LTU,689941,1698824,166878103,712927341,0.413440102,0.238288519,2115153,5304850,282561522,1003849196,0.748563706,0.528450889
LVA,401856,988285,61268638,130946209,0.655891845,0.754725935,837310,2291873,71958349,170893465,1.163603684,1.341112137
MAR,11126540,22539600,777947121,2064573583,1.43024374,1.091731493,9835904,38416680,103564137,306655152,9.497403527,12.52764865
MDG,6010030,39292073,21305095,177576446,28.20935556,22.12684953,422512,1197947,18570408,34950369,2.275189646,3.427566101
MDV,632605,4725063,71423983,241813577,0.885703896,1.95401063,1008322,2229380,4519240,36622835,22.31176038,6.087404211
MEX,103332002,296551227,584816501,2282571144,17.66913242,12.99198177,157726467,483928982,470547668,1506090327,33.51976383,32.13147135
MHL,9280000,18055899,20536440,48009632,45.18796831,37.6089094,1920520,1764986,2262565,2602864,84.88242327,67.80938228
MKD,810,20787,1034680,2989358,0.078285074,0.695366697,100959,317420,15460014,25412083,0.653033044,1.249090836
MMR,114819688,202207672,564376693,866811339,20.3445127,23.32776037,456074,1621046,4332788,11345831,10.52610929,14.28759163
MOZ,3360355,31077451,13540400,75021573,24.8172506,41.42468594,2084914,2889329,72795464,70754034,2.864071311,4.083624405
MRT,118928108,176537081,1255542965,1900723077,9.472245181,9.287890653,43313,9637,12975559,7296729,0.333804501,0.132072878
MUS,14123112,21407654,96332989,195368815,14.6607223,10.95755942,12306668,23717381,230456243,500502343,5.340132183,4.738715279
MWI,9750,136420,63966,412816,15.24247256,33.04619976,225,1576,4909310,8555331,0.004583129,0.018421263
MYS,28627263,133967525,258040538,2239320137,11.09409522,5.982508833,109683135,539008030,512576763,1443079972,21.39838224,37.3512238
NAM,6212254,13091614,547833009,882647036,1.133968545,1.483221884,5274037,4067263,30462798,60328120,17.31304196,6.741902449
NGA,31487,470796,5318837,83568492,0.591990317,0.563365437,85088646,70597718,1075707058,1308106149,7.910020239,5.39694107
NIC,392273,12427346,40275010,339086912,0.973986102,3.664944166,121839,565801,6812774,17015001,1.788390456,3.325306887
NLD,87923728,176650642,1580533977,4787641920,5.562912869,3.689721265,42597258,201078182,1357274419,5322387101,3.138441085,3.777969888
NOR,218691816,615510690,3851972117,18729910904,5.677398729,3.286244623,9631826,39391266,752540911,1578413700,1.279907293,2.495623676
NPL,7877,9579,25522,44454,30.86356869,21.54811715,71173,97186,14072827,16131491,0.505747708,0.60246136
NZL,83000447,479672085,396045401,1652211853,20.9573061,29.03211741,9139195,43989878,32821960,185661627,27.84475699,23.69357563
OMN,6054886,20571408,248119387,231314731,2.440311526,8.893254619,441661,1110527,37019552,69865023,1.193047933,1.589532147
PAK,73494340,135011040,362174567,621467703,20.29251822,21.72454648,79702,275572,19677184,63032873,0.405047795,0.437187751
PAN,17041286,19135274,92273472,280663633,18.46823971,6.81786728,4090144,12973447,18388085,56498507,22.24344732,22.96245988
PER,960362365,1468225978,1836271981,3476697829,52.29957081,42.23047415,7031516,23788801,201465085,389405294,3.490190869,6.109008112
PHL,57349375,280212246,226576831,1082258284,25.31122655,25.89143924,394747198,794415199,850384743,1483735077,46.4198354,53.54157971
PNG,12087136,31347501,100959414,221484933,11.97227234,14.1533334,6732030,7753616,12773750,20329050,52.70206478,38.14057224
POL,1636338,3782598,407135295,2241289383,0.401915044,0.168768836,43079963,119663734,747441341,3244533581,5.763658047,3.688164447
PRK,96256751,163211616,97267846,164275190,98.96050438,99.35256566,91810225,102694005,94554948,109894956,97.09721907,93.44742356
PRT,5315616,19022419,216582013,761230569,2.454320156,2.498903719,39830470,172095957,486900199,2359195407,8.180417688,7.29468854
PRY,570,8953,133085,370201,0.428297704,2.418415942,84788,229978,1097374,6495942,7.726445132,3.540333334
QAT,230,6646,11785140,2115767,0.00195161,0.314117764,486244,2262455,21762909,70173871,2.234278515,3.224070395
ROU,295,9067,14438163,39362647,0.002043196,0.023034528,921400,2113897,129035592,348800996,0.71406655,0.606046721
RUS,1113657119,1613842594,2224593108,6305800404,50.06116017,25.59298567,130393922,384503524,839306752,2293353633,15.53590766,16.76599363
SAU,32257,863379,80267789,320400743,0.04018673,0.269468476,5499242,23170073,328516521,738432074,1.673962084,3.137739247
SDN,8677,64682,10486753,8663678,0.082742485,0.746588227,NA,NA,NA,NA,NA,NA
SEN,11483702,48830558,368210290,766425411,3.118788994,6.371208117,19176946,19058692,41016021,51471754,46.75476931,37.02747725
SGP,6126217,90465395,38587689,377579142,15.87609198,23.95932003,31944264,204094991,228003279,1254911581,14.01044061,16.26369492
SLB,1536537,3929490,13733100,38333547,11.18856631,10.25078634,2627436,4324650,5535487,13579379,47.46530883,31.84718535
SLE,1510366,1344713,74185889,49702991,2.035920874,2.70549714,185,511,14668201,4637360,0.001261232,0.011019201
SLV,67471,2060507,35529492,75992217,0.189901392,2.711471097,679009,2369099,23065242,50573514,2.943862458,4.684465865
SOM,1357125,8209715,9398539,30978191,14.4397443,26.50159591,437650,837041,525563,1272744,83.27260481,65.76664278
STP,966,6197,2806,8932,34.42622951,69.37975817,4,128,21460,208054,0.018639329,0.061522489
